year,taxa,cell_id,decslat_cell_ctr,decslon_cell_ctr,pop_mean_no_m3,pop_var_no_m3,n_obs
2015,AURELIA,224,28.87248586,-83.00480259,0,NA,2
2013,AURELIA,226,28.12367662,-90.50480294,5.770738631,33.30142435,2
2014,AURELIA,226,28.12367662,-90.50480294,0,NA,1
2017,AURELIA,226,28.12367662,-90.50480294,0,NA,1
2013,AURELIA,227,28.12248586,-83.00480259,0,NA,1
2014,AURELIA,227,28.12248586,-83.00480259,0,NA,2
2017,AURELIA,227,28.12248586,-83.00480259,60.55932566,NA,1
2012,AURELIA,228,29.37248586,-88.50480259,0,NA,1
2014,AURELIA,228,29.37248586,-88.50480259,0,NA,1
2015,AURELIA,228,29.37248586,-88.50480259,0,NA,1
2016,AURELIA,228,29.37248586,-88.50480259,0,NA,2
2017,AURELIA,228,29.37248586,-88.50480259,0,NA,2
2018,AURELIA,228,29.37248586,-88.50480259,0,NA,1
2013,AURELIA,229,28.87248586,-92.75480259,0,NA,1
2014,AURELIA,229,28.87248586,-92.75480259,0,NA,3
2015,AURELIA,229,28.87248586,-92.75480259,0,NA,3
2017,AURELIA,229,28.87248586,-92.75480259,0,NA,2
2018,AURELIA,229,28.87248586,-92.75480259,0,NA,1
2012,AURELIA,231,29.37248586,-88.25480259,0,NA,3
2013,AURELIA,231,29.37248586,-88.25480259,0,NA,1
2015,AURELIA,231,29.37248586,-88.25480259,0.446116327,0.033367797,5
2016,AURELIA,231,29.37248586,-88.25480259,0,NA,1
2017,AURELIA,231,29.37248586,-88.25480259,0,NA,1
2012,AURELIA,232,25.12248586,-83.75480259,0,NA,1
2014,AURELIA,232,25.12248586,-83.75480259,2.7287515,NA,1
2015,AURELIA,232,25.12248586,-83.75480259,0,NA,1
2016,AURELIA,232,25.12248586,-83.75480259,0,NA,1
2017,AURELIA,232,25.12248586,-83.75480259,0,NA,2
2018,AURELIA,232,25.12248586,-83.75480259,0,NA,1
2014,AURELIA,234,28.87248586,-83.25480259,0.591882303,NA,1
2015,AURELIA,234,28.87248586,-83.25480259,3.100244687,6.993355463,2
2018,AURELIA,234,28.87248586,-83.25480259,0,NA,2
2012,AURELIA,235,29.87248586,-87.50480259,0,NA,1
2014,AURELIA,235,29.87248586,-87.50480259,0.640219358,0.189692046,4
2015,AURELIA,235,29.87248586,-87.50480259,0,NA,2
2016,AURELIA,235,29.87248586,-87.50480259,0.363514381,NA,1
2017,AURELIA,235,29.87248586,-87.50480259,0,NA,3
2018,AURELIA,235,29.87248586,-87.50480259,0,NA,2
2012,AURELIA,236,28.12367455,-90.75480294,0,NA,1
2013,AURELIA,236,28.12367455,-90.75480294,0,NA,1
2017,AURELIA,236,28.12367455,-90.75480294,0,NA,3
2013,AURELIA,237,25.62248586,-83.00480259,0.57756257,NA,1
2014,AURELIA,237,25.62248586,-83.00480259,5.664655652,15.5119476,3
2015,AURELIA,237,25.62248586,-83.00480259,0,NA,3
2016,AURELIA,237,25.62248586,-83.00480259,0,NA,4
2017,AURELIA,237,25.62248586,-83.00480259,0,NA,3
2012,AURELIA,238,29.12248586,-85.25480259,0,NA,3
2013,AURELIA,238,29.12248586,-85.25480259,13.01927419,127.6091579,4
2014,AURELIA,238,29.12248586,-85.25480259,0.598564845,0.358279874,2
2015,AURELIA,238,29.12248586,-85.25480259,0,NA,2
2016,AURELIA,238,29.12248586,-85.25480259,2.859501782,8.176750444,2
2017,AURELIA,238,29.12248586,-85.25480259,0.30865566,0.095268317,4
2018,AURELIA,238,29.12248586,-85.25480259,0,NA,1
2012,AURELIA,241,29.12248586,-85.00480259,0,NA,4
2013,AURELIA,241,29.12248586,-85.00480259,0,NA,1
2014,AURELIA,241,29.12248586,-85.00480259,0.505140931,0.25516736,3
2015,AURELIA,241,29.12248586,-85.00480259,0,NA,6
2016,AURELIA,241,29.12248586,-85.00480259,6.703422211,NA,1
2012,AURELIA,242,26.87248586,-83.25480259,0,NA,4
2013,AURELIA,242,26.87248586,-83.25480259,0.123160843,0.015168593,4
2014,AURELIA,242,26.87248586,-83.25480259,0,NA,3
2015,AURELIA,242,26.87248586,-83.25480259,0,NA,1
2016,AURELIA,242,26.87248586,-83.25480259,0,NA,3
2018,AURELIA,242,26.87248586,-83.25480259,0,NA,2
2012,AURELIA,243,28.37248586,-90.50480259,0,NA,1
2013,AURELIA,243,28.37248586,-90.50480259,0,NA,2
2014,AURELIA,243,28.37248586,-90.50480259,0,NA,1
2015,AURELIA,243,28.37248586,-90.50480259,0,NA,2
2016,AURELIA,243,28.37248586,-90.50480259,0,NA,3
2017,AURELIA,243,28.37248586,-90.50480259,0,NA,2
2012,AURELIA,244,28.87248586,-84.50480259,0,NA,1
2013,AURELIA,244,28.87248586,-84.50480259,0,NA,3
2014,AURELIA,244,28.87248586,-84.50480259,0.069176244,0.004785353,5
2018,AURELIA,244,28.87248586,-84.50480259,0,NA,2
2014,AURELIA,245,28.14404528,-82.84086812,0,NA,1
2012,AURELIA,247,24.87248586,-83.50480259,0,NA,2
2014,AURELIA,247,24.87248586,-83.50480259,1.083422059,1.173803359,2
2015,AURELIA,247,24.87248586,-83.50480259,0,NA,1
2017,AURELIA,247,24.87248586,-83.50480259,0,NA,2
2012,AURELIA,248,25.62248586,-82.75480259,0,NA,1
2013,AURELIA,248,25.62248586,-82.75480259,0,NA,1
2014,AURELIA,248,25.62248586,-82.75480259,0,NA,1
2015,AURELIA,248,25.62248586,-82.75480259,0,NA,1
2016,AURELIA,248,25.62248586,-82.75480259,0,NA,3
2017,AURELIA,248,25.62248586,-82.75480259,0,NA,2
2012,AURELIA,250,27.62291505,-96.50502966,0,NA,1
2014,AURELIA,250,27.62291505,-96.50502966,0,NA,6
2017,AURELIA,250,27.62291505,-96.50502966,0.526669556,NA,1
2013,AURELIA,251,29.1239235,-88.50482578,0,NA,2
2018,AURELIA,251,29.1239235,-88.50482578,1.090543143,NA,1
2012,AURELIA,252,27.84576636,-96.96246355,0,NA,18
2013,AURELIA,252,27.84576636,-96.96246355,30.8935908,672.0215707,16
2014,AURELIA,252,27.84576636,-96.96246355,0.009319245,8.68E-05,17
2014,AURELIA,254,26.81911018,-82.33539766,0,NA,3
2012,AURELIA,256,27.62229244,-97.00460674,0,NA,16
2013,AURELIA,256,27.62229244,-97.00460674,12.54666806,86.03646115,14
2014,AURELIA,256,27.62229244,-97.00460674,0.104095579,0.01083589,16
2015,AURELIA,256,27.62229244,-97.00460674,0,NA,1
2016,AURELIA,256,27.62229244,-97.00460674,0,NA,1
2017,AURELIA,256,27.62229244,-97.00460674,0.260428213,0.067822854,4
2018,AURELIA,256,27.62229244,-97.00460674,0,NA,1
2015,AURELIA,257,29.35960654,-91.758837,0,NA,1
2016,AURELIA,257,29.35960654,-91.758837,1.758029558,1.815728693,3
2012,AURELIA,258,29.37248586,-84.00480259,0,NA,1
2014,AURELIA,258,29.37248586,-84.00480259,0,NA,1
2015,AURELIA,258,29.37248586,-84.00480259,0,NA,2
2016,AURELIA,258,29.37248586,-84.00480259,0,NA,1
2017,AURELIA,258,29.37248586,-84.00480259,0,NA,1
2018,AURELIA,258,29.37248586,-84.00480259,0,NA,2
2012,AURELIA,259,29.12248586,-93.25480259,0,NA,1
2014,AURELIA,259,29.12248586,-93.25480259,0.041668514,0.001736265,5
2015,AURELIA,259,29.12248586,-93.25480259,0.80131758,0.30403902,6
2016,AURELIA,259,29.12248586,-93.25480259,0,NA,1
2017,AURELIA,259,29.12248586,-93.25480259,0,NA,4
2012,AURELIA,261,28.62261684,-90.00488033,0,NA,1
2013,AURELIA,261,28.62261684,-90.00488033,0,NA,1
2014,AURELIA,261,28.62261684,-90.00488033,0,NA,2
2016,AURELIA,261,28.62261684,-90.00488033,1.657818488,2.748362138,2
2017,AURELIA,261,28.62261684,-90.00488033,0,NA,1
2018,AURELIA,261,28.62261684,-90.00488033,0,NA,2
2012,AURELIA,263,26.14357072,-97.14726922,0,NA,2
2013,AURELIA,263,26.14357072,-97.14726922,1.781328979,3.173132932,2
2014,AURELIA,263,26.14357072,-97.14726922,0,NA,2
2012,AURELIA,265,29.37248586,-88.75480259,0,NA,2
2014,AURELIA,265,29.37248586,-88.75480259,10.6513039,113.4502748,3
2016,AURELIA,265,29.37248586,-88.75480259,0.909464151,0.827125042,3
2017,AURELIA,265,29.37248586,-88.75480259,0,NA,5
2018,AURELIA,265,29.37248586,-88.75480259,0,NA,1
2014,AURELIA,266,27.87248586,-84.50480259,0,NA,2
2015,AURELIA,266,27.87248586,-84.50480259,0,NA,1
2016,AURELIA,266,27.87248586,-84.50480259,0,NA,1
2018,AURELIA,266,27.87248586,-84.50480259,0,NA,2
2012,AURELIA,267,29.58264751,-94.00305988,0,NA,15
2013,AURELIA,267,29.58264751,-94.00305988,12.00871338,44.76172067,12
2014,AURELIA,267,29.58264751,-94.00305988,0.042797643,0.001831638,11
2015,AURELIA,267,29.58264751,-94.00305988,0,NA,1
2016,AURELIA,267,29.58264751,-94.00305988,2.115979233,4.477368116,2
2017,AURELIA,267,29.58264751,-94.00305988,0.077001611,0.005929248,2
2012,AURELIA,269,28.12366625,-91.75480294,0,NA,2
2013,AURELIA,269,28.12366625,-91.75480294,7.037822054,NA,1
2014,AURELIA,269,28.12366625,-91.75480294,0,NA,4
2015,AURELIA,269,28.12366625,-91.75480294,0,NA,1
2016,AURELIA,269,28.12366625,-91.75480294,0,NA,2
2017,AURELIA,269,28.12366625,-91.75480294,0,NA,3
2012,AURELIA,270,28.37248586,-94.50480259,0,NA,2
2013,AURELIA,270,28.37248586,-94.50480259,0.107089877,0.011468242,5
2014,AURELIA,270,28.37248586,-94.50480259,0,NA,1
2015,AURELIA,270,28.37248586,-94.50480259,0,NA,4
2016,AURELIA,270,28.37248586,-94.50480259,0,NA,1
2017,AURELIA,270,28.37248586,-94.50480259,0,NA,1
2018,AURELIA,270,28.37248586,-94.50480259,0,NA,1
2013,AURELIA,271,29.55732239,-85.00163276,0,NA,1
2015,AURELIA,271,29.55732239,-85.00163276,0.130214107,0.016955714,3
2012,AURELIA,272,28.87248586,-95.00480259,0,NA,2
2013,AURELIA,272,28.87248586,-95.00480259,0,NA,2
2014,AURELIA,272,28.87248586,-95.00480259,0.297402589,0.0884483,3
2015,AURELIA,272,28.87248586,-95.00480259,0,NA,2
2016,AURELIA,272,28.87248586,-95.00480259,0.205784794,0.042347381,4
2017,AURELIA,272,28.87248586,-95.00480259,0,NA,2
2012,AURELIA,273,26.34270393,-82.00472521,0,NA,1
2013,AURELIA,273,26.34270393,-82.00472521,0.034723762,0.00120574,3
2015,AURELIA,273,26.34270393,-82.00472521,0,NA,1
2012,AURELIA,276,27.12043568,-97.25099144,0.266456644,0.070999143,2
2014,AURELIA,276,27.12043568,-97.25099144,0.225463314,NA,1
2015,AURELIA,276,27.12043568,-97.25099144,0,NA,1
2016,AURELIA,276,27.12043568,-97.25099144,0,NA,1
2017,AURELIA,276,27.12043568,-97.25099144,1.519164578,NA,1
2018,AURELIA,276,27.12043568,-97.25099144,0,NA,2
2012,AURELIA,278,28.87248586,-91.00480259,0,NA,2
2013,AURELIA,278,28.87248586,-91.00480259,43.1377633,696.4272156,3
2014,AURELIA,278,28.87248586,-91.00480259,45.59229922,NA,1
2015,AURELIA,278,28.87248586,-91.00480259,0.038702526,0.001497886,3
2018,AURELIA,278,28.87248586,-91.00480259,0,NA,1
2012,AURELIA,279,26.87246414,-96.56515231,0,NA,2
2013,AURELIA,279,26.87246414,-96.56515231,0,NA,2
2014,AURELIA,279,26.87246414,-96.56515231,0,NA,1
2016,AURELIA,279,26.87246414,-96.56515231,0,NA,3
2013,AURELIA,280,28.37248586,-84.50480259,0,NA,2
2014,AURELIA,280,28.37248586,-84.50480259,0,NA,1
2015,AURELIA,280,28.37248586,-84.50480259,0.189020477,0.035728741,3
2016,AURELIA,280,28.37248586,-84.50480259,0,NA,2
2017,AURELIA,280,28.37248586,-84.50480259,0,NA,1
2018,AURELIA,280,28.37248586,-84.50480259,0,NA,2
2012,AURELIA,281,29.12248586,-92.25480259,0,NA,1
2013,AURELIA,281,29.12248586,-92.25480259,0,NA,2
2014,AURELIA,281,29.12248586,-92.25480259,0,NA,2
2015,AURELIA,281,29.12248586,-92.25480259,0,NA,1
2016,AURELIA,281,29.12248586,-92.25480259,0,NA,2
2012,AURELIA,282,27.37248586,-84.25480259,0,NA,1
2014,AURELIA,282,27.37248586,-84.25480259,0.412005572,0.169748591,2
2015,AURELIA,282,27.37248586,-84.25480259,0,NA,4
2017,AURELIA,282,27.37248586,-84.25480259,0,NA,1
2018,AURELIA,282,27.37248586,-84.25480259,0,NA,2
2013,AURELIA,283,29.03008261,-90.51448432,0,NA,1
2012,AURELIA,285,27.62248586,-83.00480259,0,NA,1
2013,AURELIA,285,27.62248586,-83.00480259,0,NA,1
2014,AURELIA,285,27.62248586,-83.00480259,0.198373053,0.039351868,2
2015,AURELIA,285,27.62248586,-83.00480259,54.34846281,2885.665913,2
2016,AURELIA,285,27.62248586,-83.00480259,0,NA,1
2017,AURELIA,285,27.62248586,-83.00480259,0.497181135,0.247189081,4
2018,AURELIA,285,27.62248586,-83.00480259,2.314352287,NA,1
2012,AURELIA,286,27.62248586,-96.75480259,0.228456,0.052192144,4
2013,AURELIA,286,27.62248586,-96.75480259,3.721636603,9.086844291,2
2014,AURELIA,286,27.62248586,-96.75480259,0,NA,3
2015,AURELIA,286,27.62248586,-96.75480259,0,NA,1
2016,AURELIA,286,27.62248586,-96.75480259,0,NA,1
2017,AURELIA,286,27.62248586,-96.75480259,0.084581038,0.007153952,4
2012,AURELIA,288,28.62248586,-94.25480259,0,NA,2
2013,AURELIA,288,28.62248586,-94.25480259,1.349719298,0.289858676,2
2015,AURELIA,288,28.62248586,-94.25480259,0,NA,2
2016,AURELIA,288,28.62248586,-94.25480259,0,NA,3
2017,AURELIA,288,28.62248586,-94.25480259,0.623525242,NA,1
2018,AURELIA,288,28.62248586,-94.25480259,0,NA,2
2012,AURELIA,289,28.62248586,-92.50480259,0,NA,1
2014,AURELIA,289,28.62248586,-92.50480259,0,NA,2
2015,AURELIA,289,28.62248586,-92.50480259,0,NA,1
2016,AURELIA,289,28.62248586,-92.50480259,6.855021481,46.9913195,2
2017,AURELIA,289,28.62248586,-92.50480259,0,NA,1
2018,AURELIA,289,28.62248586,-92.50480259,0,NA,1
2012,AURELIA,290,28.12424655,-94.0047968,0,NA,2
2013,AURELIA,290,28.12424655,-94.0047968,0,NA,2
2014,AURELIA,290,28.12424655,-94.0047968,0,NA,2
2016,AURELIA,290,28.12424655,-94.0047968,0,NA,1
2017,AURELIA,290,28.12424655,-94.0047968,0.936818156,0.877628258,2
2018,AURELIA,290,28.12424655,-94.0047968,0,NA,1
2012,AURELIA,291,28.87248586,-90.75480259,0,NA,3
2013,AURELIA,291,28.87248586,-90.75480259,10.98944053,NA,1
2014,AURELIA,291,28.87248586,-90.75480259,0.796476286,0.232863176,3
2016,AURELIA,291,28.87248586,-90.75480259,0.842464601,0.411702839,3
2012,AURELIA,292,27.87248586,-96.00480259,0,NA,1
2014,AURELIA,292,27.87248586,-96.00480259,0,NA,1
2015,AURELIA,292,27.87248586,-96.00480259,0,NA,2
2016,AURELIA,292,27.87248586,-96.00480259,0,NA,1
2017,AURELIA,292,27.87248586,-96.00480259,35.6809103,1273.12736,2
2012,AURELIA,295,28.12366003,-92.50480294,0,NA,2
2013,AURELIA,295,28.12366003,-92.50480294,0,NA,3
2014,AURELIA,295,28.12366003,-92.50480294,2.987948698,8.92783742,2
2015,AURELIA,295,28.12366003,-92.50480294,0,NA,2
2016,AURELIA,295,28.12366003,-92.50480294,0,NA,3
2017,AURELIA,295,28.12366003,-92.50480294,0,NA,2
2012,AURELIA,296,27.87248586,-96.50480259,0,NA,2
2013,AURELIA,296,27.87248586,-96.50480259,0,NA,1
2014,AURELIA,296,27.87248586,-96.50480259,0,NA,3
2015,AURELIA,296,27.87248586,-96.50480259,0,NA,3
2016,AURELIA,296,27.87248586,-96.50480259,0,NA,1
2017,AURELIA,296,27.87248586,-96.50480259,0,NA,4
2013,AURELIA,297,28.12366418,-92.00480294,0,NA,4
2014,AURELIA,297,28.12366418,-92.00480294,0,NA,2
2015,AURELIA,297,28.12366418,-92.00480294,0,NA,2
2016,AURELIA,297,28.12366418,-92.00480294,0.551657071,0.141578264,5
2018,AURELIA,297,28.12366418,-92.00480294,0,NA,1
2012,AURELIA,300,29.37248586,-94.25480259,0.365183793,0.133359202,3
2013,AURELIA,300,29.37248586,-94.25480259,11.34946154,120.937979,3
2014,AURELIA,300,29.37248586,-94.25480259,0,NA,2
2015,AURELIA,300,29.37248586,-94.25480259,0,NA,6
2016,AURELIA,300,29.37248586,-94.25480259,0.627301292,0.213739617,7
2017,AURELIA,300,29.37248586,-94.25480259,0,NA,5
2018,AURELIA,300,29.37248586,-94.25480259,0,NA,1
2014,AURELIA,301,29.04047303,-90.23577251,10.72443383,NA,1
2012,AURELIA,302,30.10468678,-88.50777742,0,NA,2
2013,AURELIA,302,30.10468678,-88.50777742,0,NA,1
2014,AURELIA,302,30.10468678,-88.50777742,0.797068168,0.635317665,2
2015,AURELIA,302,30.10468678,-88.50777742,0.072807888,0.005300988,3
2016,AURELIA,302,30.10468678,-88.50777742,0,NA,2
2017,AURELIA,302,30.10468678,-88.50777742,0,NA,4
2018,AURELIA,302,30.10468678,-88.50777742,0.288781285,0.083394631,3
2012,AURELIA,303,28.87248586,-85.25480259,0,NA,2
2014,AURELIA,303,28.87248586,-85.25480259,7.685957654,24.77964695,3
2012,AURELIA,304,25.37248586,-83.75480259,0,NA,2
2013,AURELIA,304,25.37248586,-83.75480259,0,NA,1
2014,AURELIA,304,25.37248586,-83.75480259,0,NA,1
2015,AURELIA,304,25.37248586,-83.75480259,0,NA,1
2017,AURELIA,304,25.37248586,-83.75480259,0,NA,1
2014,AURELIA,305,29.56097398,-92.77130092,0,NA,1
2015,AURELIA,305,29.56097398,-92.77130092,4.023073337,4.830751975,3
2018,AURELIA,305,29.56097398,-92.77130092,0,NA,1
2012,AURELIA,307,29.12342982,-85.5043499,0,NA,1
2014,AURELIA,307,29.12342982,-85.5043499,0,NA,1
2015,AURELIA,307,29.12342982,-85.5043499,0,NA,1
2016,AURELIA,307,29.12342982,-85.5043499,0,NA,2
2017,AURELIA,307,29.12342982,-85.5043499,0,NA,2
2018,AURELIA,307,29.12342982,-85.5043499,0,NA,1
2013,AURELIA,309,27.62248586,-84.00480259,0,NA,3
2014,AURELIA,309,27.62248586,-84.00480259,1.281795113,1.64299871,2
2015,AURELIA,309,27.62248586,-84.00480259,0,NA,3
2016,AURELIA,309,27.62248586,-84.00480259,0,NA,1
2017,AURELIA,309,27.62248586,-84.00480259,0,NA,1
2013,AURELIA,310,27.87248586,-83.00480259,0,NA,2
2014,AURELIA,310,27.87248586,-83.00480259,0,NA,2
2016,AURELIA,310,27.87248586,-83.00480259,0,NA,1
2017,AURELIA,310,27.87248586,-83.00480259,0,NA,1
2018,AURELIA,310,27.87248586,-83.00480259,0,NA,1
2014,AURELIA,311,28.37248586,-84.25480259,0,NA,2
2015,AURELIA,311,28.37248586,-84.25480259,0.531707602,0.282712974,2
2017,AURELIA,311,28.37248586,-84.25480259,0,NA,1
2015,AURELIA,312,29.08472946,-91.03180185,0,NA,1
2012,AURELIA,314,25.87248586,-82.75480259,0,NA,1
2014,AURELIA,314,25.87248586,-82.75480259,0.183769909,0.033771379,2
2015,AURELIA,314,25.87248586,-82.75480259,0,NA,2
2016,AURELIA,314,25.87248586,-82.75480259,0,NA,1
2018,AURELIA,314,25.87248586,-82.75480259,0,NA,2
2012,AURELIA,315,26.87248586,-83.00480259,0,NA,1
2013,AURELIA,315,26.87248586,-83.00480259,0,NA,2
2014,AURELIA,315,26.87248586,-83.00480259,3.865731292,NA,1
2015,AURELIA,315,26.87248586,-83.00480259,0,NA,5
2016,AURELIA,315,26.87248586,-83.00480259,0,NA,1
2017,AURELIA,315,26.87248586,-83.00480259,0,NA,3
2018,AURELIA,315,26.87248586,-83.00480259,0,NA,3
2012,AURELIA,316,27.87248586,-83.50480259,0,NA,2
2013,AURELIA,316,27.87248586,-83.50480259,0,NA,1
2014,AURELIA,316,27.87248586,-83.50480259,0,NA,1
2015,AURELIA,316,27.87248586,-83.50480259,3.014107782,9.084845719,7
2016,AURELIA,316,27.87248586,-83.50480259,0,NA,2
2017,AURELIA,316,27.87248586,-83.50480259,0,NA,1
2018,AURELIA,316,27.87248586,-83.50480259,0,NA,1
2014,AURELIA,317,25.85496091,-81.77274261,4.742712075,22.49331782,2
2015,AURELIA,317,25.85496091,-81.77274261,0,NA,2
2013,AURELIA,318,29.86894517,-88.72880123,0,NA,1
2014,AURELIA,318,29.86894517,-88.72880123,0,NA,1
2015,AURELIA,318,29.86894517,-88.72880123,0,NA,5
2016,AURELIA,318,29.86894517,-88.72880123,0,NA,1
2012,AURELIA,319,28.12248586,-95.75480259,0.24415145,0.059609931,3
2013,AURELIA,319,28.12248586,-95.75480259,0,NA,1
2014,AURELIA,319,28.12248586,-95.75480259,0,NA,3
2015,AURELIA,319,28.12248586,-95.75480259,0,NA,1
2016,AURELIA,319,28.12248586,-95.75480259,0,NA,2
2013,AURELIA,320,26.36900035,-82.25818869,0.022839974,0.000521664,4
2014,AURELIA,320,26.36900035,-82.25818869,0.263058801,0.069199933,3
2015,AURELIA,320,26.36900035,-82.25818869,13.99591624,NA,1
2017,AURELIA,320,26.36900035,-82.25818869,0,NA,1
2018,AURELIA,320,26.36900035,-82.25818869,0.396057613,0.109175699,3
2012,AURELIA,321,28.62248586,-83.50480259,0,NA,1
2013,AURELIA,321,28.62248586,-83.50480259,8.497520574,72.2078559,3
2015,AURELIA,321,28.62248586,-83.50480259,21.99200286,470.6752448,3
2016,AURELIA,321,28.62248586,-83.50480259,0,NA,1
2012,AURELIA,322,28.62248586,-93.00480259,0,NA,2
2014,AURELIA,322,28.62248586,-93.00480259,1.20253284,0.695396373,3
2015,AURELIA,322,28.62248586,-93.00480259,0,NA,2
2016,AURELIA,322,28.62248586,-93.00480259,0,NA,1
2017,AURELIA,322,28.62248586,-93.00480259,0,NA,3
2018,AURELIA,322,28.62248586,-93.00480259,0,NA,3
2012,AURELIA,324,28.62248586,-90.75480259,1.000044339,NA,1
2013,AURELIA,324,28.62248586,-90.75480259,0.181757191,0.033035676,2
2014,AURELIA,324,28.62248586,-90.75480259,0,NA,3
2015,AURELIA,324,28.62248586,-90.75480259,0,NA,1
2016,AURELIA,324,28.62248586,-90.75480259,0.083337028,0.00694506,3
2018,AURELIA,324,28.62248586,-90.75480259,0,NA,1
2013,AURELIA,325,29.62412183,-87.75479146,0,NA,1
2012,AURELIA,327,29.11308459,-88.97463743,0,NA,2
2013,AURELIA,327,29.11308459,-88.97463743,0,NA,2
2015,AURELIA,327,29.11308459,-88.97463743,0,NA,4
2016,AURELIA,327,29.11308459,-88.97463743,0.154875869,0.023986535,3
2017,AURELIA,327,29.11308459,-88.97463743,0,NA,2
2018,AURELIA,327,29.11308459,-88.97463743,0,NA,1
2012,AURELIA,328,28.12248586,-96.25480259,0,NA,2
2013,AURELIA,328,28.12248586,-96.25480259,20.98575617,162.7700862,4
2014,AURELIA,328,28.12248586,-96.25480259,0,NA,9
2015,AURELIA,328,28.12248586,-96.25480259,0,NA,1
2016,AURELIA,328,28.12248586,-96.25480259,0,NA,2
2017,AURELIA,328,28.12248586,-96.25480259,4.105361419,NA,1
2013,AURELIA,329,24.87248586,-82.75480259,0.4308555,NA,1
2014,AURELIA,329,24.87248586,-82.75480259,0,NA,4
2015,AURELIA,329,24.87248586,-82.75480259,0.828635224,NA,1
2016,AURELIA,329,24.87248586,-82.75480259,0,NA,3
2017,AURELIA,329,24.87248586,-82.75480259,1.430254946,1.598027484,5
2018,AURELIA,329,24.87248586,-82.75480259,0,NA,3
2012,AURELIA,331,25.37248586,-82.50480259,0,NA,3
2014,AURELIA,331,25.37248586,-82.50480259,0,NA,1
2015,AURELIA,331,25.37248586,-82.50480259,0.818996078,0.00891468,2
2016,AURELIA,331,25.37248586,-82.50480259,0,NA,1
2018,AURELIA,331,25.37248586,-82.50480259,0,NA,1
2013,AURELIA,332,27.84990835,-82.84564541,0,NA,1
2014,AURELIA,333,29.11478694,-91.25930833,0,NA,1
2014,AURELIA,334,29.86620315,-84.24620368,0,NA,1
2015,AURELIA,334,29.86620315,-84.24620368,0,NA,1
2012,AURELIA,337,25.12248586,-82.00480259,0,NA,1
2013,AURELIA,337,25.12248586,-82.00480259,0,NA,2
2015,AURELIA,337,25.12248586,-82.00480259,0,NA,1
2016,AURELIA,337,25.12248586,-82.00480259,0,NA,1
2017,AURELIA,337,25.12248586,-82.00480259,0,NA,1
2018,AURELIA,337,25.12248586,-82.00480259,0,NA,1
2012,AURELIA,338,30.11740531,-87.75260128,0.154003222,NA,1
2013,AURELIA,338,30.11740531,-87.75260128,0,NA,1
2014,AURELIA,338,30.11740531,-87.75260128,0,NA,1
2015,AURELIA,338,30.11740531,-87.75260128,1.673090513,2.799231863,3
2017,AURELIA,338,30.11740531,-87.75260128,0,NA,2
2018,AURELIA,338,30.11740531,-87.75260128,0,NA,1
2013,AURELIA,340,24.87248586,-82.00480259,0,NA,1
2014,AURELIA,340,24.87248586,-82.00480259,1.010625448,0.131485737,4
2015,AURELIA,340,24.87248586,-82.00480259,0,NA,3
2016,AURELIA,340,24.87248586,-82.00480259,0.410174436,0.168243068,2
2017,AURELIA,340,24.87248586,-82.00480259,0,NA,1
2013,AURELIA,341,29.62248586,-93.25480259,0,NA,1
2015,AURELIA,341,29.62248586,-93.25480259,0.100915933,NA,1
2016,AURELIA,341,29.62248586,-93.25480259,0.219736305,0.017382256,4
2017,AURELIA,341,29.62248586,-93.25480259,0,NA,1
2012,AURELIA,342,28.37248586,-93.25480259,0,NA,2
2013,AURELIA,342,28.37248586,-93.25480259,10.18201973,NA,1
2014,AURELIA,342,28.37248586,-93.25480259,0,NA,2
2015,AURELIA,342,28.37248586,-93.25480259,0,NA,1
2016,AURELIA,342,28.37248586,-93.25480259,3.596051756,4.801540951,2
2017,AURELIA,342,28.37248586,-93.25480259,56.89503869,3237.045428,3
2012,AURELIA,343,29.12248586,-91.75480259,0,NA,1
2013,AURELIA,343,29.12248586,-91.75480259,0,NA,1
2014,AURELIA,343,29.12248586,-91.75480259,12.56826558,NA,1
2015,AURELIA,343,29.12248586,-91.75480259,0,NA,1
2016,AURELIA,343,29.12248586,-91.75480259,3.970324567,15.76347717,2
2017,AURELIA,343,29.12248586,-91.75480259,0,NA,1
2012,AURELIA,345,29.36780376,-94.50103629,0.010417129,0.000108517,10
2013,AURELIA,345,29.36780376,-94.50103629,20.84492865,77.98654045,12
2014,AURELIA,345,29.36780376,-94.50103629,0.012153317,0.000147703,15
2015,AURELIA,345,29.36780376,-94.50103629,0,NA,1
2016,AURELIA,345,29.36780376,-94.50103629,0.582346421,0.339127355,3
2017,AURELIA,345,29.36780376,-94.50103629,0,NA,2
2012,AURELIA,346,29.37248586,-92.50480259,0,NA,2
2013,AURELIA,346,29.37248586,-92.50480259,10.93147425,NA,1
2014,AURELIA,346,29.37248586,-92.50480259,0.132818389,NA,1
2015,AURELIA,346,29.37248586,-92.50480259,0,NA,1
2016,AURELIA,346,29.37248586,-92.50480259,0.400807844,0.040626445,3
2017,AURELIA,346,29.37248586,-92.50480259,0.810221108,0.656458244,3
2018,AURELIA,346,29.37248586,-92.50480259,0,NA,1
2013,AURELIA,347,27.37248586,-84.00480259,0,NA,1
2014,AURELIA,347,27.37248586,-84.00480259,0.355129382,0.126116878,2
2015,AURELIA,347,27.37248586,-84.00480259,1.045273395,1.092596471,2
